id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,year,primary_position,per90_reliable,npxG_per90,goals_per90,xGChain_per90,xA_per90,key_passes_per90,primary_position_hierarchy,primary_position_minutes
6496,Ermedin Demirovic,30,1518,5,5.165380647405982,6,4.5631964802742,42,16,7,0,F S,Freiburg,5,5.165380647405982,9.513705303892491,2.169701097533107,bundesliga,2020,F,True,0.306,0.296,0.564,0.271,0.949,F,F
6531,Alexander Sørloth,29,1417,5,7.346802301704884,2,1.9975735060870647,48,27,2,0,F M S,RasenBallsport Leipzig,5,6.589025378227234,9.90918456017971,3.161795577034354,bundesliga,2020,F,True,0.418,0.318,0.629,0.127,1.715,F,F
7044,Kevin Möhwald,27,1578,5,1.7985939159989357,1,0.6334564816206694,23,10,2,1,M S,Werder Bremen,5,1.7985939159989357,3.867029432207346,2.233619318343699,bundesliga,2020,M,True,0.103,0.285,0.221,0.036,0.57,M,M
7295,Joshua Sargent,32,2541,5,5.817104505375028,2,3.809394358657301,43,33,7,0,F M S,Werder Bremen,5,5.817104505375028,9.158627063035963,1.8502658195793629,bundesliga,2020,F,True,0.206,0.177,0.324,0.135,1.169,F,F
7814,Taiwo Awoniyi,21,1376,5,6.514472082257271,2,1.2689972091466188,29,20,0,0,F S,Union Berlin,5,6.514472082257271,7.922865437343717,1.548149587586522,bundesliga,2020,F,True,0.426,0.327,0.518,0.083,1.308,F,F
7877,Robert Andrich,29,2529,5,2.3250317201018333,2,1.972961970604956,41,20,5,1,M,Union Berlin,5,2.3250317201018333,11.184412397444248,7.768359644338489,bundesliga,2020,M,True,0.083,0.178,0.398,0.07,0.712,M,M
8292,Dani Olmo,32,2209,5,6.939714565873146,9,5.530818520113826,77,41,1,0,F M S,RasenBallsport Leipzig,4,6.181937575340271,19.371167447417974,10.323801381513476,bundesliga,2020,F,True,0.252,0.204,0.789,0.225,1.67,F,M
8397,Florian Wirtz,29,2233,5,4.467319151386619,6,4.641136834397912,31,48,1,0,F M S,Bayer Leverkusen,5,4.467319151386619,14.26437513064593,6.706637638621032,bundesliga,2020,F,True,0.18,0.202,0.575,0.187,1.935,F,M
8791,Ritsu Doan,34,2792,5,5.026420509442687,2,3.679046434815973,69,45,1,0,F M S,Arminia Bielefeld,5,5.026420509442687,7.388814183883369,2.2285932768136263,bundesliga,2020,F,True,0.162,0.161,0.238,0.119,1.451,F,M
8792,Fabian Klos,34,2750,5,7.102315234020352,2,4.547046024352312,54,32,4,0,F M S,Arminia Bielefeld,4,5.586842196062207,12.630963830277324,3.9432777035981417,bundesliga,2020,F,True,0.183,0.164,0.413,0.149,1.047,F,F
64,Filip Kostic,30,2535,4,4.1149656772613525,15,14.134800320491197,52,88,4,0,D M S,Eintracht Frankfurt,4,4.1149656772613525,18.563068574294448,4.895749693736434,bundesliga,2020,D,True,0.146,0.142,0.659,0.502,3.124,M,D
