id,player_name,season_rows,seasons,minutes,games,goals,npg,xG,npxG,assists,xA,shots,key_passes,xGChain,xGBuildup,main_league,main_team,np_shots,np_goals,np_xg,np_residual,np_conversion,avg_shot_xg,pens_taken,pens_scored,position,pos_share,col_agreement,position_ambiguous,shots_per90,npg_per90,npxg_per90,xa_per90,kp_per90,xgchain_per90,xgbuildup_per90,np_residual_per90,shots_per90_pct,shots_per90_z,npg_per90_pct,npg_per90_z,npxg_per90_pct,npxg_per90_z,xa_per90_pct,xa_per90_z,kp_per90_pct,kp_per90_z,xgchain_per90_pct,xgchain_per90_z,xgbuildup_per90_pct,xgbuildup_per90_z,np_residual_per90_pct,np_residual_per90_z,avg_shot_xg_pct,avg_shot_xg_z,np_conversion_pct,np_conversion_z,shots_head,shots_leftfoot,shots_otherbodypart,shots_rightfoot,goals_head,goals_leftfoot,goals_otherbodypart,goals_rightfoot,residual_head,residual_leftfoot,residual_otherbodypart,residual_rightfoot,reliable_head,reliable_leftfoot,reliable_otherbodypart,reliable_rightfoot,left_share,footedness,weaker_foot_shots,weaker_foot_reliable,zone_edge_of_box,zone_outside_box,zone_six_yard_box,sit_directfreekick,sit_fromcorner,sit_openplay,sit_penalty,sit_setpiece,season_progression,peak_year,peak_residual,trough_year,trough_residual
12187,Jordan Clark,1,1,1326.0,23.0,1.0,1.0,0.9263012297451496,0.9263012297451496,1.0,1.848531438037753,17.0,12.0,4.373950673267245,2.6069892831146717,premier_league,Luton,17.0,1.0,0.9263012316077939,0.07,0.0588,0.0545,0.0,0.0,M,1.0,1.0,False,1.1538,0.0679,0.0629,0.1255,0.8145,0.2969,0.1769,0.0048,67.4,0.239,59.2,-0.063,48.4,-0.275,72.3,0.411,45.3,-0.295,40.2,-0.414,29.4,-0.606,68.8,0.304,29.8,-0.619,48.0,-0.131,1,5,0,11,0,0,0,1,-0.03,-0.39,,0.5,False,False,False,False,0.312,right,5,False,0.471,0.0,0.529,0.0,0.235,0.647,0.0,0.118,2023: +0.1,2023.0,0.07,2023.0,0.07
12367,Gift Orban,3,2,1324.0,29.0,7.0,7.0,6.039109015837312,6.039109015837312,0.0,0.1711904043331741,23.0,3.0,8.460390152409673,3.701664658263326,bundesliga,Hoffenheim,23.0,7.0,6.039108945988118,0.96,0.3043,0.2626,0.0,0.0,F,1.0,1.0,False,1.5634,0.4758,0.4105,0.0116,0.2039,0.5751,0.2516,0.0653,21.2,-0.807,93.5,1.601,84.8,1.003,0.3,-1.892,0.3,-2.065,68.2,0.366,79.1,0.743,90.1,1.126,99.6,3.314,99.9,3.749,4,1,0,18,2,1,0,4,1.05,0.04,,-0.14,False,False,False,False,0.053,right,1,False,0.13,0.043,0.826,0.0,0.13,0.783,0.0,0.087,2023: -0.3 -> 2024: +1.3,2024.0,1.26,2023.0,-0.3
12843,Sorba Thomas,1,1,1323.0,25.0,1.0,1.0,1.862928626127541,1.862928626127541,3.0,4.295549262315035,9.0,37.0,5.919012122787535,2.2782368920743465,ligue_1,Nantes,9.0,1.0,1.862928590737283,-0.86,0.1111,0.207,0.0,0.0,F,1.0,0.0,True,0.6122,0.068,0.1267,0.2922,2.517,0.4027,0.155,-0.0585,0.9,-2.146,8.3,-1.222,12.9,-1.027,96.0,1.974,97.8,2.515,28.9,-0.607,47.5,-0.283,30.7,-0.405,97.1,1.987,52.8,-0.003,0,0,0,9,0,0,0,1,,,,-0.86,False,False,False,False,0.0,right,0,False,0.444,0.0,0.556,0.0,0.111,0.778,0.0,0.111,2024: -0.9,2024.0,-0.86,2024.0,-0.86
10795,Denis Genreau,3,3,1321.0,37.0,0.0,0.0,1.6086321771144867,1.6086321771144867,1.0,1.8482488747686148,16.0,17.0,7.019641843624413,4.965557454153895,ligue_1,Toulouse,16.0,0.0,1.6086320914328092,-1.61,0.0,0.1005,0.0,0.0,M,1.0,1.0,False,1.0901,0.0,0.1096,0.1259,1.1582,0.4782,0.3383,-0.1097,63.0,0.132,11.0,-0.938,76.5,0.417,72.3,0.417,70.4,0.358,79.7,0.654,81.8,0.713,2.4,-2.272,77.4,0.667,11.0,-1.163,1,3,0,12,0,0,0,0,-0.05,-0.37,,-1.2,False,False,False,False,0.2,right,3,False,0.5,0.0,0.5,0.0,0.062,0.875,0.0,0.062,2022: -0.9 -> 2023: -0.4,2023.0,-0.4,2022.0,-0.91
10925,Michael Barreto,1,1,1320.0,20.0,1.0,1.0,0.8244065353646874,0.8244065353646874,1.0,1.3062411481514573,19.0,18.0,2.460897535085678,0.8370166914537549,ligue_1,Ajaccio,19.0,1.0,0.8244071053341023,0.18,0.0526,0.0434,0.0,0.0,F,1.0,1.0,False,1.2955,0.0682,0.0562,0.0891,1.2273,0.1678,0.0571,0.0123,11.9,-1.184,8.4,-1.22,2.3,-1.531,20.3,-0.824,57.1,-0.039,0.8,-1.933,3.9,-1.323,71.3,0.471,1.0,-1.916,10.8,-1.14,1,3,0,15,0,0,0,1,-0.02,-0.1,,0.29,False,False,False,False,0.167,right,3,False,0.737,0.105,0.158,0.158,0.053,0.789,0.0,0.0,2022: +0.2,2022.0,0.18,2022.0,0.18
9199,John Donald,3,3,1320.0,18.0,0.0,0.0,0.4461854714900255,0.4461854714900255,0.0,0.1079050004482269,4.0,4.0,2.8693055221810937,2.8111618319526315,la_liga,Elche,4.0,0.0,0.44618497230112536,-0.45,0.0,0.1115,0.0,0.0,M,0.825,0.175,True,0.2727,0.0,0.0304,0.0074,0.2727,0.1956,0.1917,-0.0307,3.9,-1.242,11.0,-0.938,20.3,-0.756,1.3,-1.354,4.1,-1.325,11.1,-1.011,36.5,-0.485,24.9,-0.495,84.6,0.974,11.0,-1.163,2,0,0,2,0,0,0,0,-0.1,,,-0.35,False,False,False,False,0.0,right,0,False,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.25,2022: -0.1,2022.0,-0.1,2022.0,-0.1
13052,Francisco Conceição,1,1,1320.0,26.0,3.0,3.0,3.1290370896458626,3.1290370896458626,3.0,4.405173312872648,40.0,28.0,12.86916140280664,7.611164345405996,serie_a,Juventus,40.0,3.0,3.129037096165119,-0.13,0.075,0.0782,0.0,0.0,F,1.0,1.0,False,2.7273,0.2045,0.2133,0.3004,1.9091,0.8774,0.5189,-0.0089,81.3,0.832,43.6,-0.277,41.3,-0.407,96.8,2.087,89.2,1.311,96.4,2.073,99.5,3.584,58.5,0.208,12.7,-1.085,23.8,-0.704,0,39,0,1,0,3,0,0,,-0.07,,-0.06,False,True,False,False,0.975,left,1,False,0.325,0.025,0.65,0.025,0.1,0.825,0.0,0.05,2024: -0.1,2024.0,-0.13,2024.0,-0.13
4828,Mathias Autret,1,1,1317.0,23.0,2.0,1.0,1.9607252003625035,1.2006302000954747,2.0,1.4323750138282776,23.0,25.0,3.4234663993120193,1.8508519269526005,ligue_1,Auxerre,22.0,1.0,1.200629737228154,-0.2,0.0455,0.0546,1.0,1.0,M,1.0,1.0,False,1.5034,0.0683,0.082,0.0979,1.7084,0.2339,0.1265,-0.0137,82.8,0.827,59.5,-0.057,63.5,0.008,58.2,-0.001,90.1,1.404,20.7,-0.786,9.9,-1.018,44.6,-0.112,30.1,-0.616,38.3,-0.364,0,4,1,17,0,0,0,1,,-0.15,-0.04,-0.01,False,False,False,False,0.19,right,4,False,0.591,0.136,0.273,0.043,0.043,0.87,0.043,0.0,2022: -0.2,2022.0,-0.2,2022.0,-0.2
7799,Sven Michel,3,3,1316.0,56.0,8.0,6.0,5.271559688262641,2.9982293201610446,3.0,2.5592243410646915,39.0,24.0,6.170033849775791,1.162601139396429,bundesliga,Union Berlin,36.0,6.0,2.998228824697433,3.0,0.1667,0.0833,3.0,2.0,F,1.0,1.0,False,2.462,0.4103,0.205,0.175,1.6413,0.422,0.0795,0.2052,70.2,0.459,87.7,1.147,38.8,-0.467,68.6,0.359,79.4,0.781,34.0,-0.498,11.0,-1.085,99.5,2.855,17.5,-0.964,86.9,1.077,4,31,0,1,1,5,0,0,0.38,2.67,,-0.04,False,True,False,False,0.969,left,1,False,0.444,0.083,0.472,0.0,0.051,0.846,0.077,0.026,2023: +0.1,2023.0,0.1,2023.0,0.1
8760,Arsen Zakharyan,2,2,1316.0,32.0,2.0,2.0,2.581201421096921,2.581201421096921,2.0,2.4560027681291103,37.0,27.0,6.130991093814373,3.8939137253910303,la_liga,Real Sociedad,37.0,2.0,2.5812014155089837,-0.58,0.0541,0.0698,0.0,0.0,F,0.947,1.0,False,2.5304,0.1368,0.1765,0.168,1.8465,0.4193,0.2663,-0.0397,73.7,0.555,23.5,-0.745,27.4,-0.671,65.0,0.263,87.3,1.187,33.7,-0.513,82.5,0.9,38.4,-0.172,8.1,-1.286,11.6,-1.11,1,6,0,30,0,0,0,2,-0.03,-0.6,,0.04,False,False,False,True,0.167,right,6,False,0.622,0.0,0.378,0.162,0.108,0.703,0.0,0.027,2023: -1.4,2023.0,-1.44,2023.0,-1.44
